question,answer,hint
Why did Emily change her phone's name to Titanic,So it'd sync.,Pun on what happened to the Titanic
How bad are jokes about German sausage,The wurst.,Pun on typical German sausage type
What kind of bone will a dog never eat,A trombone.,Music
Why did the whales cross the ocean,To get to the other tide.,Near-pun on an obvious statement of purpose and what oceans have
Why was Sam thrown out of the local parks after arranging all squirrels by height,Because they didn't like his critter sizing.,Pun on how locals did not like his behavior arranging heights
What did Jon say to his wife after she said she was thinking of leaving him because he loved Star Wars more than her,May divorce be with you.,Near-pun on famous Star Wars saying
In what manner did the baker swap sweeteners in his recipes so as to avoid customer complaints,Syruptitiously.,Near-pun on a kind of sweetener and a similar-sounding adverb of manner
How's a jeweler's job the opposite a jailer's,A jeweler sells watches. A jailer watches cells.,Rolex
Part One: Why can folks never starve in the Sahara Desert,They can eat all the sand which is there.,Clever pun on stuff of dunes and travel or school snack
Part Two: But what brought the sandwiches there,"Noah sent Ham, and his descendants mustered and bred.",Deli meat and condiments and essential sandwich ingredient
A Freudian slip is when you say one thing but mean...,Your mother.,The pun is a Freudian slip
Why did Mary get a job at Sullivan's bakery,She kneads dough.,Reason most folk get jobs - pun on bakery staple
What do you do when you find Niacin and Thiamin at your front door,You vitamin.,Pun on what you normally would do when family or friends arrive
Why should you refuse to work with compost,It's degrading.,What is happening to compost?
Why aren't depressed people worried about flat tires,They're always carrying despair.,How depressed people feel and what is in the trunk of your car
Why did Marjorie left her banking job,She'd just lost interest.,Double entendre on a common financial expectation
What happens when a piano falls down a mineshaft,A flat miner.,Pun on a specific musical key
What is the name of the condition when a male human turns into a vampire before being bitten,Pemature edraculation.,Famous vampire and a hasty performance issue
What happens to Nitrogen when the sun rises,It becomes Daytrogen.,24 hours have two parts
What is the instrument used to measure the quality of puns,A sighsmograph.,Earthquaking joke on pun expectation
What happened to everyone the morning after someone spiked the punch at a roof designer convention,A terrible overhang.,Dyslexic pun on repercussions of binge drinking
"What happened after a Spanish-speaking magician told her audience she'd disappear on the count of three, wrapped her cape around and counted ""Uno.. Dos...""",She disappeared without a Tres.,Keep counting and think about how she disappeared
What happens to folks who fall behind their payments for exorcism,They get repossessed.,Consequence when collectors come collecting
What was the mood of the antiques collector who found an old Coca-Cola lamp,He was soda lighted.,Pun on happiness found that includes the category of Coca-Cola
